#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
             647          1.5725         1.56379     0.000142023
             648         1.57255         1.56381     0.000142445
             649          1.5726         1.56382     0.000142868
             650         1.57265         1.56384     0.000143293
             651          1.5727         1.56385     0.000143718
             652         1.57275         1.56386     0.000144144
             653          1.5728         1.56388     0.000144571
             654         1.57285         1.56389     0.000144999
             655         1.57289          1.5639     0.000145428
             656         1.57294         1.56392     0.000145858
             657         1.57299         1.56393     0.000146289
             658         1.57304         1.56394      0.00014672
             659         1.57309         1.56396     0.000147153
             660         1.57314         1.56397     0.000147586
             661         1.57319         1.56399     0.000148021
             662         1.57324           1.564     0.000148456
             663         1.57329         1.56401     0.000148893
             664         1.57334         1.56403      0.00014933
             665         1.57339         1.56404     0.000149768
             666         1.57345         1.56406     0.000150207
             667          1.5735         1.56407     0.000150647
             668         1.57355         1.56409     0.000151088
             669          1.5736          1.5641      0.00015153
             670         1.57365         1.56411     0.000151973
             671          1.5737         1.56413     0.000152417
